Geneid,ddb_pd_005_DDB_PD_005_AMBR_7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_7__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_8__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S02_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R7__S10_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S07_RNAseq,ddb_pd_005_DDB_PD_005_AMBR_R8__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R1__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R2__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R3__S10_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S02_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S07_RNAseq,ddb_pd_023_DDB_PD_023_AMBR_R4__S10_RNAseq,ddb_pd_038_DDB_PD_038_AMBR_R7_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R7_S11_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S03_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S07_RNA_seq,ddb_pd_038_DDB_PD_038_AMBR_R8_S11_RNA_seq
b0021,1.9443493056425363,2.0047792493674472,2.3978459831980583,2.621666979441367,2.407056946510927,2.520377916165649,1.777241645436524,1.7487559427095307,2.1606574541690007,2.316769954184036,2.2292419417333753,1.6592661704209246,2.5820044170649625,1.7996207201898118,2.501950918928176,2.099814966507889,2.058257827074382,2.763409904520445,2.533200866859766,2.7762061372371,0.6205521151767461,1.5453919304587704,1.7367457625990095,1.6205898877532505,1.6245242698633777
b0022,4.306300180612974,3.270047914782538,4.563792606952666,4.7060165938264475,4.253719458389463,3.8048948356398204,4.006554958000461,4.400343509452442,3.839077018210536,4.270886149845789,4.201780375859828,3.5249713558817453,3.416467163365231,3.7506467614109993,3.250628005363528,2.926315776079675,4.067088575015086,4.380205075076336,3.172424892559524,3.4614992230527513,2.300363907724159,2.701819151058552,4.432272648232812,3.3885835613003383,3.4783603342979306
b0023,11.53552208274052,10.5604301295178,10.654648410869827,11.593836102871219,10.014917691729543,10.31593532885177,10.486346161764626,11.735605677720875,11.03915839547483,10.762554096440189,11.821388238107756,11.0271140009678,10.901723032675381,11.843117514383325,10.92709558541907,10.856761319853177,11.781650743978723,11.47573259578459,10.68453520149896,11.457802997227573,10.253839420241915,10.734162763442033,11.722079610863927,10.656962169878962,10.810681899712531
b0024,4.878154938755847,5.308737177747543,4.929868287568539,4.627917239373232,5.819346503239713,5.592261094582955,4.738788580996809,4.6171919740054665,4.731353934356259,4.984287551286877,4.605614830760456,4.86542224065261,4.2966534206755025,5.080425884970662,4.979695215161963,5.278645226297437,5.063694506446378,5.234329323590648,5.20224906854441,3.358479158847376,4.289357385730329,4.270127621848719,4.239982037077762,4.146798436154432,4.152296767752622
b0025,8.306023338239166,7.961169281153154,8.271441009961134,8.205420904683438,7.847695861382313,7.834602774886307,7.8356525966320225,8.214187679618103,7.827859257216397,7.895315393686423,8.183883116826333,7.917647209645917,7.871397130810877,8.090046546602492,7.770263953611332,7.8971482783522395,8.22037115028128,8.0629279301609,7.98382526287208,8.000625174658932,7.702732374182047,7.901951709593149,7.828635676633105,7.632484066100831,7.8105389880846925
b0026,8.46296993178918,7.920608193773527,8.26753706861436,8.603446462533917,8.345446208980313,7.991091608832419,8.209925385288436,8.542686658838013,7.949788614607462,8.12479610836859,8.568182415698917,7.878703503054942,8.079461886464248,8.582690139048406,7.8748997636478055,8.146798697720202,8.615310124789787,8.061231626211601,8.142883834360752,8.634153824865344,8.011420708121044,7.713400151801722,8.355772008832169,7.740445079128719,7.957856974518281
b0027,7.047944595583295,6.582219568249994,6.8568120265245005,7.52897355407657,7.044686387274555,6.76452490084095,6.765167504648826,7.4345573980792246,6.895369973874156,6.952974746621976,7.516987237551995,6.678991880419258,6.970631667232828,7.461635657022518,6.96402436871242,7.053591386221967,7.417067173563725,7.009588516359345,7.042522488855121,7.504360131171999,6.822517046906425,6.9421395501532075,7.099931115984846,6.612259292822964,6.999137972637025
b0028,7.529875692777216,7.075422126933441,7.056260475051376,7.552019942032005,7.082028238656118,6.963497928865756,7.1481771136808385,7.507516986924814,6.9659980344317445,7.00729273689314,7.497628406940891,6.971608374092632,6.985162248151079,7.588013521855784,6.62429527106696,7.190107294438778,7.451278234909339,7.012061609238439,6.989076724755838,7.649993100686204,7.160500128983125,7.1363870604280955,7.4455394941029915,7.060355190190394,7.127613585227171
b0029,6.983630931438212,6.342539760616118,6.8388978536881835,7.397025558780287,6.494810280481473,6.628112342701234,6.508783253264168,7.296890133746801,6.586589080965695,6.640287502417721,7.30572967742772,6.52569461086928,6.671606596370146,7.328880978167403,6.571794770052066,6.7401084836202765,7.267611926812653,6.684205536490397,6.726488274360166,7.29103236598658,6.633276335221764,6.27452943600223,6.985192205574797,6.426978796783875,6.385886304602004
b0030,3.6645951281755083,6.0608797538710055,3.9493978236467044,3.8328776324451455,6.766408617525852,5.824448034194138,6.418066470983009,4.208047386064192,5.967314221906424,6.454160582829292,4.036381474180474,5.714858408282384,6.367394270420931,4.063289707134189,5.946615930636611,6.475413169548722,3.669857290401495,5.9447551553639775,6.554224786979947,4.360138344870553,5.868706906749439,5.726303230231613,4.0927213651303616,5.903572852072602,6.3355124017886215
b0031,7.759599434776161,7.259303296935556,7.80925322048692,7.637040318761702,6.777715350473321,7.103475735319012,7.042652302891211,7.616489880393416,6.981372546040939,7.008110781706937,7.499853569291342,7.070952435859679,7.21671932730542,7.518649915639408,7.067160893203175,6.512176417552089,7.479503215595597,6.715088538128405,6.6451746831046545,8.383415582524718,7.056858704759804,7.499895251616779,8.694775256411997,7.247697060051926,7.384257808297669
b0032,10.538904767531207,4.952316906520447,10.688420710982108,10.508140480528832,8.792850825363868,4.753544737410148,8.022858263534449,10.624779245396185,5.108415510715133,8.07197034552628,10.68516014579863,4.756914449121392,7.99778711220684,10.655942756157426,4.6753988414938386,8.447109679497723,10.696141419787454,4.193925291036663,8.634671509990463,9.402438711504136,6.051022138379213,7.374775057081159,9.406373404838176,6.468087272129352,7.6876464437789735
b0033,9.442653026573174,4.031442933560571,9.313759787400008,9.811677985044332,7.721442114347367,4.153543342840727,6.97352706616741,9.78931648092295,3.865371424093221,6.992572604576768,9.88391100401826,3.9080961878721983,6.877038043429174,9.850358734956579,4.0871266319461625,7.22916980027809,9.891753100943934,4.150185652458652,7.496524900370561,8.76795146536673,5.463661362798776,6.202358178440875,8.504518739812845,5.412802323727025,6.7039675710414945
b0034,5.4091306962210375,3.9302228551966474,5.77688988179853,5.411062297745794,4.077700126157692,3.465826720515618,4.595355546688694,5.145063892694358,4.188219182267967,4.1087908110945675,5.395085353514015,4.201578000193441,4.236778500819124,5.159387672199869,3.7366006501140037,4.1482424326124665,5.824237564917617,3.7479592111207167,4.191229812540297,3.7114802330563332,4.17800624980762,3.935839866508938,4.540267821983208,4.111504137528889,3.0896479233190606
b0035,1.1470781841574287,1.2302217809264206,1.4510522760840785,1.3017452452674296,1.0711465168343066,1.8849107600313404,1.5176748117969932,1.0829955428644333,1.751960310573118,1.0383767503719643,0.8371042130077021,1.6542527101654396,1.5164675488526271,1.7572468868376814,1.5038235878085606,1.2638571284908378,0.7958293179812175,1.511782681505273,1.75792744135311,1.1682001288427533,0.5443315297083176,1.2645959549359551,1.7316106417096606,0.0,0.6710549813470141
b0036,1.1490901705601508,1.596545585463367,1.1200056931278897,1.6796474432787452,1.6815880162781125,1.596990213211337,1.6687418661294766,1.2299146935641854,0.737893986036601,1.370106046826924,1.1261091447818967,1.9996078812522906,2.0697799830516024,1.759829633024106,1.618558394071402,1.9819853025675656,1.4116339771868343,2.1637000019778574,2.0252122848418064,1.4012274282334247,1.6172036404737855,1.8625764234905937,0.8056463956944105,1.3517954396517844,1.0794768999709807
b0037,3.1545084683297837,2.2678463797218518,3.3364084369032296,3.7289662523706473,2.253635776049719,2.1969222737174654,2.1836873814607762,2.9956151419763892,2.4602602166594347,2.2983838757213264,3.2440412038244983,2.13214442252833,2.4458586682818053,3.1613756855186614,2.2750724744023287,2.274190749942224,2.982780977301467,2.509591523831515,1.9438250415394545,2.7678570416660744,2.555999959647188,2.2430433478364065,2.5954909917429827,2.4260875805585855,2.271712524993591
b0038,3.6085855037666232,3.0842733694914743,3.8626205427554865,3.54407807507727,2.7050668317507696,2.7825795859791347,2.5661758145832487,3.567269289864214,2.484480676438678,2.740286195363275,3.7097589940053717,2.45048085389895,2.496649036581638,3.391951834233907,2.7316074227406006,2.8859182112715414,3.3458357056015404,3.006807011385535,3.0756184589821567,2.908071743095958,2.897155491490106,2.345801983048299,3.0705074256495064,3.0277198994371313,2.447361155662903
b0039,3.8266995901083276,3.225236118259597,3.9731137461691257,3.7949102500423813,3.4916037732208736,2.993311234828742,3.4106592081585183,3.849645513242731,2.7026942393137268,3.307523536449187,3.549470672955141,2.7119787401200615,3.1874412937056364,3.7194005692195824,3.4758296789127345,3.440215580205665,3.7062191597043914,3.6240115675987767,3.595180681824941,3.637796001002157,2.8872869080182952,3.296253644754131,3.20620240200184,2.9749384283514613,2.597570880955941
b0040,1.3670605811261458,0.6964881666816383,0.910271156740657,0.0,1.101271725037738,0.33647020283529233,1.035568297167548,1.1516223017506124,0.657535137864671,1.403008830793246,1.1552247887713796,0.7808094915120822,0.5006179766693888,0.868258337294832,0.9671152301951003,1.2758110056241259,0.9687473259053588,1.058990941962866,1.298816240342687,0.6854636467680741,0.9214352738253909,0.6296154360630284,0.4730432532011066,1.0253472461677875,0.8548802029261485
b0041,1.3515091354368285,1.9312864274266062,1.7623986715343556,1.0862287744954011,1.5701795725983174,1.0230830727932148,1.757223990143624,1.2459269180346328,1.7088943529161496,1.435891505879445,1.38272439876833,2.0205048945575825,1.7846449193102774,1.1482875442777825,1.9315398916848256,1.7498528328723386,1.7845002937112933,1.8488450782251333,2.046230987477742,0.7799596056279527,1.930057477334675,1.6554837970742895,1.3362604356136094,1.7051854572457876,1.4935888423696224
b0042,0.5093056506740875,1.583063320048252,1.2716166484560385,0.9405750854736125,1.507000036756204,1.4274699585996706,1.2009423498335245,0.642795998770094,1.5145994397572105,0.6669802819396239,1.310485176251393,0.6575930873983211,0.8749405014683835,0.8716305400234245,1.4477194816564745,1.1576155061949636,1.1580009598523142,1.4555071294542272,1.5467182911894057,0.8339416967818898,1.7226760768240381,0.7935315126450884,0.6996120002733144,1.1986371941934517,1.2019281364730519
b0043,0.7499428243545384,1.0866692233730493,1.0805345913816853,0.7423189439921736,1.331649840180781,0.9467966175013252,1.0981837982493046,1.2857313088973255,0.8604521628434941,1.0155729233241169,0.5670893209604182,1.3503468116195938,1.2282615566209145,1.0656787173983964,0.8821141953950398,1.41854062961559,1.1630956441030158,1.5772394715867581,1.3576620549751506,1.1945556030473716,1.634478023802526,0.8085344087759074,0.8166365831193465,0.7460191198230535,0.8606678934428836
b0044,0.3527034607306996,0.5870885663987775,1.2770240495816791,0.0,0.809977968223575,1.2520034603251937,0.8872879192253488,0.0,0.0,0.3106919870116131,0.0,1.1757857914670253,0.6281024161687487,1.394154404129234,1.1736579387615214,1.4464868426439337,1.0050345526669204,1.5359738836993349,1.2610247050295758,0.0,0.0,0.5653128801713735,0.7488110646293876,0.0,0.0
b0045,1.0129140299620718,0.7704583681973163,1.1070829005988316,1.5609067611343934,1.4809672343747522,0.6758161894329486,1.304361420772949,0.3760060797879714,0.9406517315119155,0.8728812607591264,0.9489948270933721,1.1538880991807625,1.27228081738487,0.769051471959557,0.859645215717485,1.3174595874980257,0.7252470592977245,1.9024633133937776,1.1426887943323627,0.8719511678665115,1.3933702848534568,0.9512047515270688,0.7954142034291405,0.7262048522987371,1.0363887362340383
b0046,4.847446166063917,4.9073298477616385,4.788382971577448,5.071107439791644,4.846918081890551,5.265675309494699,4.79334498195957,4.749103718490997,4.998648470565863,4.687249574029158,4.858500456238459,5.003309096383866,5.0294210655702125,4.668707326627099,4.871193262155593,4.830407373894417,4.956013444605778,4.996057408416254,4.371228488924005,4.277562404857131,4.642489926364842,4.394646039583137,4.621653975568596,5.238938652595603,4.647268733714864
b0047,3.9354392834381975,3.885623866724929,3.6749302055275384,4.148429804750227,4.012252644633304,4.227181036694263,3.8212399775260684,3.7074360460891165,4.139260373659333,3.867525260836932,3.8301463210177578,3.9269140417941597,3.7255583284702567,3.816567707626656,4.080598442879445,4.117668939239978,4.001997981152704,4.218914057743125,3.857412825513576,3.8631664105664467,4.502375817906934,4.082696693615651,3.722609820797,4.209106580770187,3.9510665443197044
b0048,6.590692046215549,6.829042829845166,6.447201853329027,6.157051790345273,6.355651206734184,6.77614539557934,6.775986907119579,6.427987347485967,6.656296306207855,6.358079580019969,6.288055940683292,6.707398715643506,6.528600352191922,6.324406399810828,6.774835233664435,6.525176257108715,6.269193312685308,6.786999468975626,6.522346229309624,6.423751533756247,6.727465962289893,6.627322442237587,6.431674618918926,6.8135217801705155,6.59281739316905
b0049,6.091232862722281,5.854914891726723,5.796625510024607,6.305080712690937,6.205946863189369,6.327396536220969,5.876939498138564,6.282464340065246,6.194174273156011,5.931029021805481,6.23009379105465,6.066776126081461,6.065577149313913,6.440554593459965,6.157088129486009,5.970350722582604,6.54755598981582,6.23282847343365,5.966993471882721,6.144400576335063,6.379562020377922,6.0811192600529,5.809702772412112,6.332770350850467,5.807709050047094
b0050,8.516720985896155,8.182223077173845,9.035640250656805,8.08390770932557,8.113868452328619,8.24382127949384,7.817900443550942,8.187979154375842,7.9922470689622305,7.850342698363134,8.033920718347204,7.8652070000590895,7.659432123842981,8.071349660092137,8.233446217743435,7.816096663379184,8.229877963260385,7.806805417295703,7.76166162348347,7.471590939506745,7.538285385159498,7.702061982798813,7.955821324066755,8.286562898211114,7.596929125483492
b0051,7.868437225626356,7.389908935975327,7.8196408697143145,8.102810845312026,7.603114579595378,7.773783622663096,7.4983543462520705,8.038833967306713,7.639226792328257,7.494513964831477,8.067533567369109,7.548218574348114,7.558446124375005,7.99366937555742,7.635024254129838,7.661854537921331,8.017275291768563,7.606756628458194,7.614725690698642,7.930914719738173,7.831137901867264,7.467380905223385,7.777196683948782,7.60905172041099,7.4871361151928255
b0052,7.184456629310452,6.525006308841988,7.057382182334699,7.46612944839917,7.096421323547089,7.031564807092757,6.750338243352892,7.573529280827168,6.929234686601746,6.966747171726241,7.600791698809334,6.84677781985692,6.909096283413546,7.513672238565485,6.877019829542276,7.098317120207075,7.577228920057793,6.873410290823343,6.9292524331124765,7.2634520599347265,6.923527316881976,7.258435696726597,7.324981999894291,6.938501207598883,6.954597872546254
b0053,8.350087622209255,8.165265171591772,8.082283344682592,8.398449966226806,8.368528833624527,8.25384189354335,8.396113625304537,8.360952696979533,8.246627687599917,8.362979885735644,8.400159183802469,8.242104648991523,8.417171062195818,8.383910313106703,8.24231945897189,8.43432066172871,8.371719579204836,8.225477696261272,8.42762375578888,8.390170928353836,8.182959759942724,8.697847987026382,8.287813581938293,8.101752512219312,8.497781749670313
b0054,8.82751850509058,8.543755619898622,9.103675053799211,8.602045535908742,8.731246670898088,8.666650348950935,8.68839995172007,8.78606351243748,8.510324101371578,8.639154150071928,8.711789389465517,8.459480045884836,8.61304258874458,8.741283990829404,8.574348069314723,8.62784845519395,8.728594506685907,8.517232659327572,8.722063614393452,8.52607467408943,8.424823736310552,8.701849407332764,8.787385459240799,8.702972749009096,8.60357328928273
