Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
p1k_00394	8019436	4704356	1832928	448641	0	0	0	0	82513	0	0	0	0	618774	242796	89428	58.66193083902659	8019436.0	7570795.0	94.41	448641.0	5.59	p1k_00394_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8019436.0	0.0	20-101	51.0	19.463188057923094	99.56391621555431	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass	2.6	8058592	2394598	8058592	813917792	5975038	804502497	1.1567869743778745	0.2533	0.353	0.3937
p1k_00395	6901271	4383051	164	1449485	0	0	0	0	178586	0	0	0	0	570281	221463	98241	63.51077939121649	6901271.0	5451786.0	79.0	1449485.0	21.0	p1k_00395_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6901271.0	0.0	20-100	51.0	17.521191946967093	99.24473651302782	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	2.6	6926755	2010753	6926755	692675500	793687	689107939	0.515040736968465	0.0263	0.4447	0.529
p1k_00396	6878791	4537447	459	1255770	0	0	0	0	215237	0	0	0	0	521657	243621	104600	65.96285597280104	6878791.0	5623021.0	81.74	1255770.0	18.26	p1k_00396_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6878791.0	0.0	20-100	51.0	22.70642706417262	99.2354429724642	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6891321	2113734	6891321	689132100	3314159	682936250	0.8990801618441515	0.0266	0.4425	0.5309
p1k_00397	4837452	806944	3361607	175788	0	0	0	0	47770	0	0	0	0	393823	39379	12141	16.68117843856642	4837452.0	4661664.0	96.37	175788.0	3.63	p1k_00397_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4837452.0	0.0	20-101	53.0	13.60882430113576	99.52481140898142	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass	2.6	4846082	1345468	4846082	489454282	175305	487131085	0.4746504597951398	0.0613	0.1764	0.7623
p1k_00398	8507002	6489110	1339	401442	0	0	0	0	93508	0	0	0	0	1115001	304755	101847	76.27963411787138	8507002.0	8105560.0	95.28	401442.0	4.72	p1k_00398_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8507002.0	0.0	20-101	50.0	21.085836910488275	99.53703854777513	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass	2.6	8546793	2555243	8546793	863226093	328121	859160254	0.4710051089709124	0.0327	0.4617	0.5056
p1k_00399	8212933	5366381	1354935	354061	0	0	0	0	76561	0	0	0	0	682167	286853	91975	65.34061583115314	8212933.0	7858872.0	95.69	354061.0	4.31	p1k_00399_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8212933.0	0.0	20-101	51.0	18.77586264492561	99.57745497254147	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass	2.6	8245679	2473356	8245679	832813579	323272	828789856	0.4831481019835773	0.1908	0.3777	0.4315
p1k_00400	9455438	6627481	29016	495186	0	0	0	0	91568	0	0	0	0	1752921	338152	121114	70.0917398009484	9455438.0	8960252.0	94.76	495186.0	5.24	p1k_00400_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9455438.0	0.0	20-101	51.0	15.772883830208912	99.78105593839229	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass	2.6	9496195	2927963	9496195	959115695	6313633	948624981	1.093790254365507	0.0865	0.4357	0.4778
p1k_00401	6992973	4572338	1293	1323321	0	0	0	0	159310	0	0	0	0	601069	240444	95198	65.38475123527576	6992973.0	5669652.0	81.08	1323321.0	18.92	p1k_00401_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6992973.0	0.0	20-100	51.0	22.95230764716114	99.21352048692307	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	7003757	2076191	7003757	700375700	841476	696592349	0.5401887872466163	0.0295	0.4499	0.5205
p1k_00402	8146190	5286279	2009	1623665	0	0	0	0	173102	0	0	0	0	685098	264172	111865	64.89265533948999	8146190.0	6522525.0	80.07	1623665.0	19.93	p1k_00402_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8146190.0	0.0	20-100	50.0	36.87243094853206	99.01462892468749	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	2.6	8161872	2405508	8161872	816187200	949260	811854072	0.5308987938061269	0.0302	0.4496	0.5202
p1k_00403	8913291	6770015	6245	432163	0	0	0	0	85478	0	0	0	0	1192890	325252	101248	75.9541565511549	8913291.0	8481128.0	95.15	432163.0	4.85	p1k_00403_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8913291.0	0.0	20-101	50.0	19.986584894217103	99.57315720983416	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass	2.6	8946870	2670186	8946870	903633870	346557	899405796	0.4678968042665333	0.0421	0.4591	0.4988
p1k_00404	9682568	7641086	4137	465953	0	0	0	0	115973	0	0	0	0	974756	350201	130462	78.91590330168609	9682568.0	9216615.0	95.19	465953.0	4.81	p1k_00404_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9682568.0	0.0	20-101	51.0	17.125506288060276	99.77586441943916	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9735845	3032895	9735845	983320345	7812713	971133875	1.2393184034039284	0.0314	0.4533	0.5153
