Sample,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,cutadapt_version,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
p1k_00012,10810317,8603589,1252,130681,0,0,0,0,9978,0,0,0,0,1370496,361706,332615,79.58683357759074,10810317.0,10679636.0,98.79,130681.0,1.21,p1k_00012_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10810317.0,0.0,20-31,51.0,17.453902095263732,30.44832237574532,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10835549,1405070,10835549,335902019,6158300,328032197,2.342892139627181,0.0304,0.4638,0.5058,,
p1k_00014,9709633,6519942,728,1565155,0,0,0,0,6191,0,0,0,0,1143526,353852,120239,67.149211509848,9709633.0,8144478.0,83.88,1565155.0,16.12,p1k_00014_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9709633.0,0.0,20-31,52.0,55.1240935407108,29.40861451715013,pass,pass,fail,pass,fail,pass,pass,warn,warn,warn,pass,2.6,10233764,4370518,10233764,317246684,20085857,291346029,8.1642003860945,0.03,0.475,0.495,,
p1k_00015,10675400,8454926,2267,179822,0,0,0,0,9170,0,0,0,0,1369561,367503,292151,79.20008617944059,10675400.0,10495578.0,98.32,179822.0,1.68,p1k_00015_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10675400.0,0.0,20-31,51.0,16.829353569016238,30.41218951983064,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10711415,835725,10711415,332053865,5308919,325631988,1.933986523541896,0.0303,0.4637,0.506,,
p1k_00016,8610540,6719371,816,144587,0,0,0,0,15964,0,0,0,0,1126538,418653,184611,78.0365807487103,8610540.0,8465953.0,98.32,144587.0,1.68,p1k_00016_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8610540.0,0.0,20-31,52.0,22.48787667438281,29.8778114961431,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,8635899,3565929,8635899,267712869,5353680,257513460,3.809831420543328,0.0322,0.4621,0.5057,,
p1k_00017,10980944,8670184,1067,183774,0,0,0,0,14508,0,0,0,0,1402279,369547,339585,78.95663615077174,10980944.0,10797170.0,98.33,183774.0,1.67,p1k_00017_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10980944.0,0.0,20-31,52.0,18.225944050794112,30.43639472161956,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,11011905,1453377,11011905,341369055,6629177,332960940,2.4630571742948404,0.0295,0.4658,0.5047,,
p1k_00018,9904977,7887075,2027,152833,0,0,0,0,11223,0,0,0,0,1205603,326631,319585,79.62739338011588,9904977.0,9752144.0,98.46,152833.0,1.54,p1k_00018_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9904977.0,0.0,20-31,51.0,18.27511498638012,30.438506924347223,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,9930142,744577,9930142,307834402,4642624,302224522,1.8223694179573864,0.029,0.4631,0.508,,
p1k_00019,7946523,6454986,985,95385,0,0,0,0,1713,0,0,0,0,1068962,206917,117575,81.2303192226336,7946523.0,7851138.0,98.8,95385.0,1.2,p1k_00019_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7946523.0,0.0,20-76,52.0,20.37875360409415,75.29883421969583,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,7953402,637547,7953402,601338257,169786,600365969,0.1616873679134637,0.0143,0.4794,0.5063,,
p1k_00020,8027816,6437768,1107,107246,0,0,0,0,2505,0,0,0,0,1146465,207884,124841,80.19326800713917,8027816.0,7920570.0,98.66,107246.0,1.34,p1k_00020_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8027816.0,0.0,20-76,52.0,21.28854220695088,75.29452394025972,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,8039029,964059,8039029,607513767,922973,605386025,0.3502376597171007,0.0147,0.4811,0.5042,,
p1k_00021,7809038,6351254,513,143712,0,0,0,0,2174,0,0,0,0,992160,243877,75348,81.33209237808806,7809038.0,7665326.0,98.16,143712.0,1.84,p1k_00021_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7809038.0,0.0,20-76,52.0,21.52429124559784,74.48435184974129,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,7815384,3903394,7815384,590916050,166757,585708213,0.8813158823491086,0.0148,0.4818,0.5034,,
p1k_00022,8790564,7096379,689,185595,0,0,0,0,2058,0,0,0,0,1192118,215994,97731,80.72723206383571,8790564.0,8604969.0,97.89,185595.0,2.11,p1k_00022_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8790564.0,0.0,20-76,52.0,19.572270791489704,75.3078043684114,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,8797292,682029,8797292,665145182,134890,664146138,0.1501993891011902,0.0152,0.4825,0.5023,,
p1k_00023,6250510,4795650,1142,97860,0,0,0,0,2090,0,0,0,0,1106471,155819,91478,76.72413931023229,6250510.0,6152650.0,98.43,97860.0,1.57,p1k_00023_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6250510.0,0.0,20-76,52.0,20.404614949730416,75.19698904569387,pass,pass,warn,pass,fail,warn,pass,warn,fail,warn,pass,2.6,6256504,772160,6256504,472903882,680572,471265645,0.3464207130361429,0.014,0.4868,0.4991,,
p1k_00024,7164233,5502955,1554,106219,0,0,0,0,1542,0,0,0,0,1275903,179761,96299,76.81150236180201,7164233.0,7058014.0,98.52,106219.0,1.48,p1k_00024_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7164233.0,0.0,20-76,52.0,19.24077266787524,75.20010334672253,pass,pass,warn,pass,fail,warn,pass,warn,fail,warn,pass,2.6,7170760,882649,7170760,542001235,722870,540178213,0.336350156102504,0.0144,0.4809,0.5046,,
p1k_00025,8115030,6043171,3271,206831,0,0,0,0,1630,0,0,0,0,1564903,204681,90543,74.46886826049935,8115030.0,7908199.0,97.45,206831.0,2.55,p1k_00025_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8115030.0,0.0,20-76,52.0,18.466655271007543,75.1894418135238,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,2.6,8126768,991302,8126768,614067208,959859,611868747,0.3580163492462538,0.0154,0.4991,0.4855,,
p1k_00026,5845829,4389947,1190,162207,0,0,0,0,1187,0,0,0,0,1064056,146186,81056,75.09537141780918,5845829.0,5683622.0,97.23,162207.0,2.77,p1k_00026_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5845829.0,0.0,20-76,52.0,20.849633098264054,75.30741525282384,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,5854610,457035,5854610,442624381,123334,441878887,0.1684258780132584,0.0155,0.4968,0.4877,,
p1k_00027,8792332,5390035,352556,495093,0,0,0,0,191849,0,0,0,0,1764989,292560,305250,61.30381564299437,8792332.0,8297239.0,94.37,495093.0,5.63,p1k_00027_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8792332.0,0.0,20-30,52.0,20.21758105648452,29.370347252583272,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,8879503,2236696,8879503,275264593,10358213,261776711,4.899969826486183,0.0348,0.4846,0.4806,,
p1k_00028,8452621,5137032,556086,228719,0,0,0,0,202170,0,0,0,0,1763418,270427,294769,60.774427245702846,8452621.0,8223902.0,97.29,228719.0,2.71,p1k_00028_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8452621.0,0.0,20-30,52.0,18.583938897482422,29.40874410434349,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,8527195,2484528,8527195,264343045,12061121,249304896,5.688876361396231,0.0335,0.4719,0.4946,,
p1k_00029,6901687,4959120,1374,399717,0,0,0,0,124957,0,0,0,0,898226,255883,262410,71.85373662989932,6901687.0,6501970.0,94.21,399717.0,5.79,p1k_00029_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6901687.0,0.0,20-30,52.0,23.07755367616856,29.4267733381708,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,6969271,2056552,6969271,216047401,7327178,205498350,4.882748392793672,0.0382,0.4569,0.5049,,
p1k_00030,9737032,6668568,309952,627670,0,0,0,0,180065,0,0,0,0,1229831,355106,365840,68.48666000070658,9737032.0,9109362.0,93.55,627670.0,6.45,p1k_00030_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9737032.0,0.0,20-30,51.0,18.98359462294812,29.44779682350844,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,9832264,3135580,9832264,304800184,12947717,287671934,5.619501200826046,0.0379,0.44,0.5221,,
p1k_00031,4907936,3488093,58343,151116,0,0,0,0,111836,0,0,0,0,732579,185739,180230,71.0704662815489,4907936.0,4756820.0,96.92,151116.0,3.08,p1k_00031_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4907936.0,0.0,20-30,51.0,24.73651506837504,29.469149149459163,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,4954483,1594895,4954483,153588973,6362209,145096916,5.52907987736854,0.0409,0.4639,0.4952,,
p1k_00032,7570460,5317072,51847,352322,0,0,0,0,160530,0,0,0,0,1121056,284287,283346,70.23446395595512,7570460.0,7218138.0,95.35,352322.0,4.65,p1k_00032_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7570460.0,0.0,20-30,52.0,21.45261272505679,29.56565836157909,pass,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,2.6,7648208,2282009,7648208,237094448,7900756,225554906,4.867065465826513,0.0404,0.4677,0.4919,,
p1k_00041,8197795,6632248,969,127446,0,0,0,0,36750,0,0,0,0,987310,257125,155947,80.90282813854213,8197795.0,8070349.0,98.45,127446.0,1.55,p1k_00041_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8197795.0,0.0,21-76,52.0,21.351125957545147,75.2180563188028,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,2.6,8206775,993442,8206775,619722573,916758,617480524,0.3617826907847683,0.0174,0.4768,0.5058,,
p1k_00042,5676095,4547117,67738,91732,0,0,0,0,40687,0,0,0,0,614672,183583,130566,80.10995235280593,5676095.0,5584363.0,98.38,91732.0,1.62,p1k_00042_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5676095.0,0.0,20-76,52.0,23.82608107013469,75.14286001203293,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,5682446,689149,5682446,429222030,670303,427643513,0.367762344351244,0.0183,0.4579,0.5238,,
p1k_00049,7968852,6369426,8946,234682,0,0,0,0,18191,0,0,0,0,947060,235495,155052,79.92902867313887,7968852.0,7734170.0,97.06,234682.0,2.94,p1k_00049_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7968852.0,0.0,20-76,52.0,28.15977926830373,75.26147856679984,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,2.6,7981080,618059,7981080,603368896,288561,602256120,0.1844271402415811,0.0178,0.4506,0.5316,,
p1k_00050,8038655,6260157,452,163808,0,0,0,0,38684,0,0,0,0,983544,338077,253933,77.87567696337261,8038655.0,7874847.0,97.96,163808.0,2.04,p1k_00050_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8038655.0,0.0,20-31,52.0,23.77761486496015,30.27466373416946,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,2.6,8100145,1077387,8100145,251104495,5735222,244054432,2.807621185753764,0.0414,0.4535,0.5051,,
p1k_00051,9151866,7080699,2252,102408,0,0,0,0,41802,0,0,0,0,1254925,377560,292220,77.36891034025192,9151866.0,9049458.0,98.88,102408.0,1.12,p1k_00051_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9151866.0,0.0,20-31,52.0,19.21017828144993,30.343131007381444,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,2.6,9224375,1189905,9224375,285955625,5935754,278575897,2.580724893941149,0.0405,0.4606,0.4989,,
p1k_00052,9207222,6943367,928,560242,0,0,0,0,20535,0,0,0,0,1145676,311425,225049,75.41218187201308,9207222.0,8646980.0,93.92,560242.0,6.08,p1k_00052_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9207222.0,0.0,20-31,53.0,37.019637668546814,30.02092824524053,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,2.6,9351020,784205,9351020,289881620,4390079,283172158,2.314552402460011,0.0343,0.4378,0.5279,,
p1k_00053,10114106,7052557,916,1362757,0,0,0,0,16907,0,0,0,0,1136242,334344,210383,69.72990989020681,10114106.0,8751349.0,86.53,1362757.0,13.47,p1k_00053_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10114106.0,0.0,20-31,52.0,15.042284109806554,30.45430382082213,pass,pass,warn,pass,fail,pass,pass,warn,fail,fail,pass,2.6,10429535,853572,10429535,323315585,4695120,316416898,2.1337316603528405,0.0341,0.4396,0.5263,,
